Cruise,Year,Month,TimeofYear,Date,YearSeason,Longitude,Latitude,Station,Cyanobacteria,Chlorophytes,Prasinophytes,Cryptophytes,Diatom-2,Dinoflage-1,Pelagophytes,Haptophytes,Tchl_a
2011_26,2011,6,Spring,2011-06-10,2011-Spring,-139.66867,49.63367,P21,0.0161,0.0049,0.0071,0.0067,0.0243,0.0001,0.0131,0.1442,0.2166
2011_27,2011,8,Summer,2011-08-25,2011-Summer,-139.66667,49.63317,P21,0.0028,0.1548,0.0032,0.0024,0,0.01,0.0297,0.1129,0.3158
2012_01,2012,2,Winter,2012-02-17,2012-Winter,-139.66583,49.63433,P21,0.0087,0.0279,0.0303,0.0112,0.005,0.0219,0.0604,0.2625,0.4278
2012_12,2012,5,Spring,2012-05-31,2012-Spring,-139.666,49.634,P21,0.0356,0.0359,0.0639,0.0048,0.0033,0.0003,0.0355,0.0593,0.2387
2012_13,2012,8,Summer,2012-08-23,2012-Summer,-139.66484,49.6325,P21,0,0.0132,0.0138,0,0,0.0326,0.0444,0.1835,0.2875
2013_01,2013,2,Winter,2013-02-11,2013-Winter,-139.6665,49.63433,P21,0.0001,0.0567,0.0288,0.0076,0.0307,0.048,0.0666,0.2116,0.4501
2013_17,2013,6,Spring,2013-06-14,2013-Spring,-139.66434,49.63317,P21,0.0257,0.0038,0.0171,0.0014,0.0497,0.0007,0.0328,0.1252,0.2564
2013_18,2013,8,Summer,2013-08-29,2013-Summer,-139.66783,49.63367,P21,0,0.0266,0.0125,0.0002,0.0009,0.0859,0.0396,0.1588,0.3246
2014_01,2014,2,Winter,2014-02-17,2014-Winter,-139.6675,49.63483,P21,0.001,0.0503,0.0451,0,0.0426,0.0296,0.0596,0.2295,0.4578
2014_18,2014,6,Spring,2014-06-15,2014-Spring,-139.6655,49.6335,P21,0.0109,0.1813,0.0258,0.0052,0.0037,0.0001,0.0884,0.3539,0.6693
2014_19,2014,8,Summer,2014-08-27,2014-Summer,-139.66333,49.63383,P21,0.0137,0.0011,0.0033,0,0.0289,0,0.0141,0.1405,0.2014
2015_01,2015,2,Winter,2015-02-17,2015-Winter,-139.66733,49.63283,P21,0.0147,0.0719,0.0321,0.0029,0.0017,0.0002,0.0325,0.2373,0.3934
2015_09,2015,6,Spring,2015-06-14,2015-Spring,-139.666,49.63267,P21,0.0155,0.1904,0.0048,0.0082,0,0,0.0142,0.1792,0.4123
2015_10,2015,8,Summer,2015-08-30,2015-Summer,-139.66949,49.6365,P21,0,0.0006,0.0109,0,0.0818,0.0296,0.0471,0.2031,0.373
2016_01,2016,2,Winter,2016-02-14,2016-Winter,-139.666,49.63417,P21,0.001,0.0004,0.0335,0.0001,0,0.0224,0.0503,0.243,0.3507
2016_06,2016,6,Spring,2016-06-12,2016-Spring,-139.66716,49.63317,P21,0.0218,0.0842,0.0156,0.0242,0.0016,0.0166,0.0465,0.4676,0.678
2016_08,2016,8,Summer,2016-08-24,2016-Summer,-139.66817,49.63317,P21,0.0041,0.0261,0.0026,0.0002,0.0007,0.0001,0.0112,0.0803,0.1254
2017_01,2017,2,Winter,2017-02-10,2017-Winter,-139.66667,49.63334,P21,0.0007,0.0417,0.0125,0,0.0155,0.0282,0.041,0.2727,0.4122
2017_06,2017,6,Spring ,2017-06-11,2017-Spring ,-139.666,49.63283,P21,0.0185,0.0499,0,0.0001,0,0.0001,0.0115,0.0894,0.1693
2017_08,2017,8,Summer,2017-08-26,2017-Summer,-139.66566,49.6345,P21,0,0.0733,0.002,0.0001,0.0011,0.0287,0.0252,0.1397,0.2701
2018_26,2018,6,Spring,2018-06-12,2018-Spring,-139.6655,49.633,P21,0.0093,0.0158,0.0083,0,0.4147,0.0272,0.0741,0.2087,0.758
2018_40,2018,9,Summer,2018-09-18,2018-Summer,-139.6651667,49.63283333,P21,0.0029,0.0504,0.0139,0.0155,0,0.0426,0.0005,0.1737,0.2996
2019_001,2019,2,Winter,2019-02-10,2019-Winter,-139.66684,49.6325,P21,0.0024,0.0192,0.0137,0.003,0.0273,0.021,0.0209,0.1422,0.2497
2019_006,2019,6,Spring,2019-06-09,2019-Spring,-139.666,49.63567,P21,0.0054,0.023,0.0045,0.0098,0.5628,0.1018,0.0184,0.1077,0.8332
2019_008,2019,8,Summer,2019-08-21,2019-Summer,-139.6655,49.63317,P21,0.0044,0.0389,0.0169,0,0.0332,0.0281,0.0178,0.1847,0.3239
2020_001,2020,2,Winter,2020-02-15,2020-Winter,-139.66066,49.6325,P21,0.0055,0.0287,0.0298,0.0114,0.0204,0.0202,0.0375,0.1363,0.2898
2020_008,2020,8,Summer,2020-08-19,2020-Summer,-139.6676667,49.63283333,P21,0.0011,0.0427,0.0113,0.0051,0.0249,0.0321,0.0136,0.1764,0.3071
2021_001,2021,8,Summer,2021-08-02,2021-Summer,-139.6665,49.63316667,P21,0.0021,0.0229,0.0455,0.0078,0.0767,0.0213,0.0445,0.2412,0.4621
2011_26,2011,6,Spring,2011-06-10,2011-Spring,-140.66667,49.7,P22,0.0131,0.0031,0.0099,0.0002,0.0019,0.0001,0.0108,0.1036,0.1426
2011_27,2011,8,Summer,2011-08-25,2011-Summer,-140.66367,49.6995,P22,0,0.0453,0.0063,0,0,0.0141,0.026,0.1365,0.2282
2012_01,2012,2,Winter,2012-02-16,2012-Winter,-140.66867,49.7005,P22,0.003,0.0286,0.0186,0.0122,0.0324,0.0177,0.0633,0.2206,0.3962
2012_12,2012,5,Spring,2012-05-31,2012-Spring,-140.66533,49.70016,P22,0.0322,0.0284,0.0684,0.0013,0.0201,0.0008,0.0337,0.0659,0.2508
2012_13,2012,8,Summer,2012-08-23,2012-Summer,-140.66634,49.699,P22,0,0.0156,0.0167,0,0,0.038,0.0399,0.1783,0.2886
2013_01,2013,2,Winter,2013-02-11,2013-Winter,-140.65717,49.70967,P22,0.0001,0.0499,0.029,0.0121,0.0502,0.0451,0.0797,0.2669,0.5329
2013_17,2013,6,Spring,2013-06-15,2013-Spring,-140.66634,49.69783,P22,0.0381,0.0032,0.0127,0.0007,0.0256,0.0004,0.0323,0.1004,0.2134
2013_18,2013,8,Summer,2013-08-29,2013-Summer,-140.66583,49.69983,P22,0.0059,0.0535,0.0083,0.0102,0,0.1018,0.0534,0.1804,0.4134
2014_01,2014,2,Winter,2014-02-20,2014-Winter,-140.66634,49.7,P22,0.0072,0.054,0.037,0,0.0458,0.0203,0.0589,0.2294,0.4525
2014_18,2014,6,Spring,2014-06-16,2014-Spring,-140.66733,49.699,P22,0.0656,0.0443,0.0498,0.0029,0.0565,0.0003,0.0274,0.1707,0.4176
2014_19,2014,8,Summer,2014-08-27,2014-Summer,-140.66499,49.69983,P22,0.002,0.0314,0.0378,0,0,0.1005,0.0538,0.2589,0.4844
2015_01,2015,2,Winter,2015-02-17,2015-Winter,-140.66617,49.701,P22,0.0058,0.0828,0.0101,0,0.0163,0.0226,0.0332,0.2323,0.4032
2015_09,2015,6,Spring,2015-06-14,2015-Spring,-140.66566,49.69933,P22,0.0293,0.2698,0.0035,0.009,0,0,0.0188,0.2448,0.5752
2015_10,2015,8,Summer,2015-08-30,2015-Summer,-140.66499,49.7,P22,0.0001,0.0417,0.0319,0,0.0851,0.0248,0.0702,0.2968,0.5507
2016_01,2016,2,Winter,2016-02-15,2016-Winter,-140.6675,49.69967,P22,0.0048,0.0061,0.0335,0.0002,0.0001,0.0154,0.0517,0.2627,0.3747
2016_06,2016,6,Spring,2016-06-12,2016-Spring,-140.6665,49.701,P22,0.0275,0.1091,0.0063,0.0048,0.0006,0.0002,0.0526,0.3674,0.5686
2016_08,2016,8,Summer,2016-08-24,2016-Summer,-140.66566,49.69933,P22,0.0039,0.0294,0.0001,0,0,0.0079,0.0125,0.0916,0.1453
2017_01,2017,2,Winter,2017-02-10,2017-Winter,-140.66733,49.6995,P22,0,0.0428,0.0042,0,0.0069,0.0058,0.035,0.26,0.3549
2017_06,2017,6,Spring,2017-06-11,2017-Spring,-140.6665,49.70133,P22,0.017,0.0815,0.0013,0.0002,0.0158,0.0001,0.0182,0.0792,0.2133
2017_08,2017,8,Summer,2017-08-23,2017-Summer,-140.66634,49.7,P22,0,0.0522,0.0006,0.0002,0.0225,0.0169,0.0115,0.0749,0.1788
2018_01,2018,2,Winter,2018-02-28,2018-Winter,-140.665,49.701,P22,0.0033,0.0526,0.0373,0,0.1302,0.0637,0.0752,0.2934,0.6559
2018_26,2018,6,Spring,2018-06-12,2018-Spring,-140.6666667,49.69983333,P22,0.0122,0.04,0.0167,0.0009,0.1327,0.0389,0.0134,0.2173,0.4722
2018_40,2018,9,Summer,2018-09-19,2018-Summer,-140.6651667,49.70016667,P22,0.008,0.0634,0.0142,0.0169,0.0205,0.0286,0.0059,0.1201,0.2776
2019_001,2019,2,Winter,2019-02-10,2019-Winter,-140.66533,49.70016,P22,0.0064,0.0373,0.0136,0.0052,0.0336,0.0231,0.0261,0.1799,0.3252
2019_006,2019,6,Spring,2019-06-09,2019-Spring,-140.66583,49.70016,P22,0.002,0.0043,0.0011,0.005,0.8925,0.0912,0.0344,0.1092,1.1398
2019_008,2019,8,Summer,2019-08-21,2019-Summer,-140.66684,49.70016,P22,0.0119,0.0689,0.0246,0.0053,0.099,0.0261,0.0156,0.1383,0.3896
