"year" "WMOID" "aNCP_carbon_unit"
2009 5902128 2.24000606435348
2010 5902128 1.53877194014877
2011 5902128 1.07065367830544
2013 5903274 1.58536067334337
2011 5903405 1.11760797400462
2012 5903405 1.45881351477743
2013 5903405 2.11940079930627
2012 5903714 1.38741247600172
2013 5903714 2.33799536259511
2014 5903714 2.15145153135879
2015 5903714 3.39881652050841
2013 5903891 1.97776314793009
2014 5903891 3.05636591456375
2015 5903891 3.15645260316725
2016 5903891 3.32560936649311
2014 5904125 3.02451999193845
2015 5904125 2.60738144562303
2016 5904125 2.83829719629446
2017 5904125 2.24519499240332
2019 5905988 3.66587013293016
2020 5905988 0.480065040565751
2021 5905988 2.5160139600807
2022 5905988 0.775423233760487
