ASVID,D273,D274,D275,D276,D277,D278,D279,D291,D292,D293,D294,D295,D296,D307,D308,D309,D311,D312,D313,D348,D349,D350,D351,D352,D353,D354,D362,D363,D364,D365,D366,D370,D371,D372,D373,D375,D377,D378,D379,D380,D381,D382,D383,D385,D386,D387,D388,D390,D391,D392,D393,D394,D395,D396,D404,D405,D406,D407,D408,D409,D410,D411,D412,D413,D414,D415,D416,D417,D439,D440,D441,D442,D443,D444,D445,D453,D454,D455,D456,D457,D458,D459,D467,D468,D469,D470,D471,D472,D473,D474,D475,D476,D477,D478,D479,D480,D502,D503,D504,D505,D506,D507,D508,D509,D510,D511,D512,D513,D514,D515,D516,D517,D518,D519,D520,D521,D522,D531,D532,D534,D535,D537,D538,D540,D541,D542,D543
ea64ae1d6dddc2146105a882229c81bb,11061,4941,9651,2479,746,0,0,5015,13070,1976,19440,6005,26066,3881,11041,3799,0,816,16769,2869,963,8295,7115,4568,2965,13673,5788,2348,9289,0,21548,9841,8867,2299,1052,28037,13899,10521,8482,0,0,0,11292,4235,236,1384,6821,4728,5382,4140,0,0,1960,21492,4478,3429,9019,7066,4127,2833,0,4460,1122,2370,3052,4709,0,6935,10455,4234,6984,5844,0,0,0,2991,8604,10925,6964,1107,865,21960,3421,7354,9054,894,2554,0,0,5497,739,11647,3813,18782,23059,17208,10635,2960,7149,866,0,0,0,5840,4644,6156,1667,0,0,0,3066,1592,3171,0,0,0,9473,1548,3583,0,0,5006,5340,0,0,0,0
fd23e1e412008c1d05d3e7ac8bcfbe24,0,0,0,0,1683,4038,11406,0,0,0,0,230,922,0,43,0,15461,16280,8134,0,0,0,4260,6360,9839,3027,0,0,0,0,0,0,0,13723,12899,199,0,0,0,4458,5634,15007,0,0,0,0,248,0,0,50,15825,10435,23533,933,0,0,0,0,64,0,2099,0,0,0,2349,6031,15609,137,0,0,0,0,307,2860,8613,0,0,0,16456,11051,20266,7781,0,0,0,0,0,0,839,0,0,0,0,2313,794,227,0,0,0,0,0,256,7945,0,0,0,0,0,0,322,0,9,0,3905,7870,10794,8927,0,0,0,0,0,0,0,677,0,0
22aa528401abcb79b9330e8b3ee02254,2758,0,0,8876,0,0,0,14899,74352,13120,2211,0,0,0,0,2427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4757,11187,6015,0,0,0,0,0,0,0,0,975,0,10209,11880,6097,540,0,0,0,3739,0,0,0,0,0,0,0,0,0,0,0,2586,563,0,3488,0,0,28664,0,0,0,0,14766,0,0,0,0,0,0,6493,0,0,0,0,0,14908,5224,0,0,1712,5986,0,0,0,0,0,0,1410,0,15,0,0,0,0,0,2282,0,0,22317,0,0,0,0,0,0,0,24,23620,0,0
92bd31a3f8f9f3d731845e35c752f93d,4041,3731,3891,325,0,0,0,5290,16768,691,33,14,0,805,649,3110,0,0,0,1082,1331,9067,423,34,0,0,3225,4182,5834,3385,0,1374,2034,94,17,38,2733,3304,3306,0,0,0,7456,15089,2847,0,0,3084,2384,7146,280,25,0,0,3738,3221,1481,817,42,0,0,1144,1151,1464,12,0,0,0,5146,5517,6288,0,0,0,0,232,208,3688,364,0,0,0,5020,4894,2605,1977,283,27,0,395,1144,8988,2768,0,0,0,874,977,1140,534,0,0,0,5380,4719,4232,0,0,0,0,101,367,7110,116,0,0,0,248,2024,37,0,0,0,0,0,0,0
80074deeeabea4b4dcf8e1be9b875035,0,0,0,0,797,2001,5498,0,0,0,0,111,475,0,0,0,7876,8217,4011,0,0,0,2176,3198,4905,1480,0,0,0,0,0,0,0,6759,6641,78,0,0,0,2611,2920,8207,0,0,0,0,76,0,0,0,8604,5364,12506,414,0,0,0,0,17,45,1028,0,0,0,1115,3214,7893,77,0,0,0,0,160,1582,4334,0,0,0,8488,5429,10113,3853,0,0,0,0,0,0,315,0,0,0,0,1145,330,97,0,0,0,0,0,118,4210,0,0,0,0,0,0,115,0,0,0,2155,3837,5811,4518,0,0,0,0,0,0,0,298,0,0
188a0a2cd1a7f9b67ef2d246196639bb,0,0,0,0,612,1610,4340,0,0,0,0,146,435,0,0,0,5472,6084,3075,0,0,0,1631,2492,3670,1158,0,0,0,0,0,0,0,4971,4871,79,0,0,0,1714,1985,5421,0,0,0,0,0,0,0,0,5974,4142,8606,283,8,0,0,0,0,144,764,0,0,0,893,2284,5833,81,0,0,0,0,118,1093,3173,0,0,0,6292,4225,7498,3188,0,0,0,0,0,0,413,0,0,0,0,895,358,121,0,0,0,0,0,0,3083,0,0,0,0,0,0,152,0,0,0,1468,2904,4136,3354,0,0,0,0,0,0,0,318,0,0
7e02ae2e1e404d4e7c6035a6e374d29d,0,0,0,0,0,0,0,0,0,0,0,0,0,91,113,1117,1313,2108,0,1902,66,4796,968,276,72,0,0,0,0,0,0,9,509,447,162,0,0,0,0,0,0,0,0,0,0,0,0,145,0,713,635,214,185,0,0,0,0,0,0,0,0,1985,1343,24162,23476,23346,6657,0,0,0,0,0,0,0,0,91,419,463,1631,2384,3816,0,0,0,0,0,0,0,0,81,40,86,86,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,667,4580,4726,780,0,0,0,0,0,0,0,0,0,0,0
9edca20763bd11809a3d8f3967db2877,1016,982,1976,0,0,0,0,642,18367,4953,0,74,0,556,518,597,0,0,0,964,525,1085,827,0,0,0,212,321,488,0,0,254,495,0,0,0,2412,1750,2353,0,0,0,0,1050,790,0,0,1845,977,360,0,0,0,0,0,98,1948,799,0,0,0,1176,969,815,0,0,0,0,804,631,817,0,0,0,0,178,154,0,0,0,0,0,1472,1515,1700,1120,0,0,0,1225,1664,1248,1347,0,0,0,1242,1624,2320,1255,0,0,0,1018,842,2297,421,0,0,0,2804,2943,740,0,0,0,0,2197,6795,0,0,1933,738,0,0,0,0
5bf3b429509ca7b31bbce32fa4d77e33,0,0,0,0,0,0,0,0,0,0,0,0,0,4082,5018,0,0,0,0,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2145,92,0,0,0,0,0,0,0,0,0,0,0,0,19976,30374,0,0,0,0,0,427,0,617,0,0,0,0,5910,4067,290,0,0,0,0,0,0,0,0,0,0,0,1978,551,0,0,0,0,0,0,0,0,0,0,0,0,535,0,0,0,0,0,0,4521,1382,0,0,0,0,0,793,0,0,0,4715,4161,0,0,0,0
38a1e68923981030900a4744924d4694,626,491,998,0,0,610,781,281,3005,251,367,1081,687,1167,1389,0,0,0,556,2761,1342,349,393,448,421,0,0,0,267,531,0,849,1109,0,0,699,194,178,240,481,594,825,0,0,363,662,206,3389,1673,543,0,294,0,1196,484,455,566,0,505,1041,1215,779,537,494,0,849,872,1111,915,800,795,645,792,0,0,1155,850,1375,306,352,0,439,0,180,632,517,667,729,618,2696,1688,604,353,527,837,621,0,222,167,0,0,0,971,500,328,801,327,567,664,344,1268,1536,821,357,0,0,505,399,0,727,1148,817,436,0,1045,1075,1257
