ASVID,Station,Depth,WC,Date,Year,Month,MonthName,Season,MHW,MHW_WC,Cruise
D273,P26,10,SML,2015-02-01,2015,2,February,Winter,MHW1,MHW1-SML,Feb2015
D274,P26,25,SML,2015-02-01,2015,2,February,Winter,MHW1,MHW1-SML,Feb2015
D275,P26,50,SML,2015-02-01,2015,2,February,Winter,MHW1,MHW1-SML,Feb2015
D276,P26,100,SML,2015-02-01,2015,2,February,Winter,MHW1,MHW1-SML,Feb2015
D277,P26,150,UMP,2015-02-01,2015,2,February,Winter,MHW1,MHW1-UMP,Feb2015
D278,P26,200,UMP,2015-02-01,2015,2,February,Winter,MHW1,MHW1-UMP,Feb2015
D279,P26,300,UMP,2015-02-01,2015,2,February,Winter,MHW1,MHW1-UMP,Feb2015
D291,P26,25,SML,2015-06-01,2015,6,June,Spring,MHW1,MHW1-SML,June2015
D292,P26,50,SML,2015-06-01,2015,6,June,Spring,MHW1,MHW1-SML,June2015
D293,P26,100,SML,2015-06-01,2015,6,June,Spring,MHW1,MHW1-SML,June2015
D294,P26,150,UMP,2015-06-01,2015,6,June,Spring,MHW1,MHW1-UMP,June2015
D295,P26,200,UMP,2015-06-01,2015,6,June,Spring,MHW1,MHW1-UMP,June2015
D296,P26,300,UMP,2015-06-01,2015,6,June,Spring,MHW1,MHW1-UMP,June2015
D307,P26,10,SML,2015-08-01,2015,8,August,Summer,MHW1,MHW1-SML,Aug2015
D308,P26,25,SML,2015-08-01,2015,8,August,Summer,MHW1,MHW1-SML,Aug2015
D309,P26,50,SML,2015-08-01,2015,8,August,Summer,MHW1,MHW1-SML,Aug2015
D311,P26,150,UMP,2015-08-01,2015,8,August,Summer,MHW1,MHW1-UMP,Aug2015
D312,P26,200,UMP,2015-08-01,2015,8,August,Summer,MHW1,MHW1-UMP,Aug2015
D313,P26,300,UMP,2015-08-01,2015,8,August,Summer,MHW1,MHW1-UMP,Aug2015
D348,P26,10,SML,2016-08-01,2016,8,August,Summer,MHW1,MHW1-SML,Aug2016
D349,P26,25,SML,2016-08-01,2016,8,August,Summer,MHW1,MHW1-SML,Aug2016
D350,P26,50,SML,2016-08-01,2016,8,August,Summer,MHW1,MHW1-SML,Aug2016
D351,P26,100,SML,2016-08-01,2016,8,August,Summer,MHW1,MHW1-SML,Aug2016
D352,P26,150,UMP,2016-08-01,2016,8,August,Summer,MHW1,MHW1-UMP,Aug2016
D353,P26,200,UMP,2016-08-01,2016,8,August,Summer,MHW1,MHW1-UMP,Aug2016
D354,P26,300,UMP,2016-08-01,2016,8,August,Summer,MHW1,MHW1-UMP,Aug2016
D362,P26,10,SML,2017-06-01,2017,6,June,Spring,No,No-SML,June2017
D363,P26,25,SML,2017-06-01,2017,6,June,Spring,No,No-SML,June2017
D364,P26,50,SML,2017-06-01,2017,6,June,Spring,No,No-SML,June2017
D365,P26,100,SML,2017-06-01,2017,6,June,Spring,No,No-SML,June2017
D366,P26,150,UMP,2017-06-01,2017,6,June,Spring,No,No-UMP,June2017
D370,P26,25,SML,2017-08-01,2017,8,August,Summer,No,No-SML,Aug2017
D371,P26,50,SML,2017-08-01,2017,8,August,Summer,No,No-SML,Aug2017
D372,P26,100,SML,2017-08-01,2017,8,August,Summer,No,No-SML,Aug2017
D373,P26,150,UMP,2017-08-01,2017,8,August,Summer,No,No-UMP,Aug2017
D375,P26,300,UMP,2017-08-01,2017,8,August,Summer,No,No-UMP,Aug2017
D377,P26,25,SML,2018-02-01,2018,2,February,Winter,No,No-SML,Feb2018
D378,P26,50,SML,2018-02-01,2018,2,February,Winter,No,No-SML,Feb2018
D379,P26,100,SML,2018-02-01,2018,2,February,Winter,No,No-SML,Feb2018
D380,P26,150,UMP,2018-02-01,2018,2,February,Winter,No,No-UMP,Feb2018
D381,P26,200,UMP,2018-02-01,2018,2,February,Winter,No,No-UMP,Feb2018
D382,P26,300,UMP,2018-02-01,2018,2,February,Winter,No,No-UMP,Feb2018
D383,P26,10,SML,2018-06-01,2018,6,June,Spring,No,No-SML,June2018
D385,P26,50,SML,2018-06-01,2018,6,June,Spring,No,No-SML,June2018
D386,P26,100,SML,2018-06-01,2018,6,June,Spring,No,No-SML,June2018
D387,P26,150,UMP,2018-06-01,2018,6,June,Spring,No,No-UMP,June2018
D388,P26,200,UMP,2018-06-01,2018,6,June,Spring,No,No-UMP,June2018
D390,P26,10,SML,2018-08-01,2018,8,August,Summer,No,No-SML,Aug2018
D391,P26,25,SML,2018-08-01,2018,8,August,Summer,No,No-SML,Aug2018
D392,P26,50,SML,2018-08-01,2018,8,August,Summer,No,No-SML,Aug2018
D393,P26,100,SML,2018-08-01,2018,8,August,Summer,No,No-SML,Aug2018
D394,P26,150,UMP,2018-08-01,2018,8,August,Summer,No,No-UMP,Aug2018
D395,P26,200,UMP,2018-08-01,2018,8,August,Summer,No,No-UMP,Aug2018
D396,P26,300,UMP,2018-08-01,2018,8,August,Summer,No,No-UMP,Aug2018
D404,P26,10,SML,2019-06-01,2019,6,June,Spring,MHW2,MHW2-SML,June2019
D405,P26,25,SML,2019-06-01,2019,6,June,Spring,MHW2,MHW2-SML,June2019
D406,P26,50,SML,2019-06-01,2019,6,June,Spring,MHW2,MHW2-SML,June2019
D407,P26,100,SML,2019-06-01,2019,6,June,Spring,MHW2,MHW2-SML,June2019
D408,P26,150,UMP,2019-06-01,2019,6,June,Spring,MHW2,MHW2-UMP,June2019
D409,P26,200,UMP,2019-06-01,2019,6,June,Spring,MHW2,MHW2-UMP,June2019
D410,P26,300,UMP,2019-06-01,2019,6,June,Spring,MHW2,MHW2-UMP,June2019
D411,P26,10,SML,2019-08-01,2019,8,August,Summer,MHW2,MHW2-SML,Aug2019
D412,P26,25,SML,2019-08-01,2019,8,August,Summer,MHW2,MHW2-SML,Aug2019
D413,P26,50,SML,2019-08-01,2019,8,August,Summer,MHW2,MHW2-SML,Aug2019
D414,P26,100,SML,2019-08-01,2019,8,August,Summer,MHW2,MHW2-SML,Aug2019
D415,P26,150,UMP,2019-08-01,2019,8,August,Summer,MHW2,MHW2-UMP,Aug2019
D416,P26,200,UMP,2019-08-01,2019,8,August,Summer,MHW2,MHW2-UMP,Aug2019
D417,P26,300,UMP,2019-08-01,2019,8,August,Summer,MHW2,MHW2-UMP,Aug2019
D439,P20,10,SML,2015-02-01,2015,2,February,Winter,MHW1,MHW1-SML,Feb2015
D440,P20,25,SML,2015-02-01,2015,2,February,Winter,MHW1,MHW1-SML,Feb2015
D441,P20,50,SML,2015-02-01,2015,2,February,Winter,MHW1,MHW1-SML,Feb2015
D442,P20,100,SML,2015-02-01,2015,2,February,Winter,MHW1,MHW1-SML,Feb2015
D443,P20,150,UMP,2015-02-01,2015,2,February,Winter,MHW1,MHW1-UMP,Feb2015
D444,P20,200,UMP,2015-02-01,2015,2,February,Winter,MHW1,MHW1-UMP,Feb2015
D445,P20,300,UMP,2015-02-01,2015,2,February,Winter,MHW1,MHW1-UMP,Feb2015
D453,P20,10,SML,2015-08-01,2015,8,August,Summer,MHW1,MHW1-SML,Aug2015
D454,P20,25,SML,2015-08-01,2015,8,August,Summer,MHW1,MHW1-SML,Aug2015
D455,P20,50,SML,2015-08-01,2015,8,August,Summer,MHW1,MHW1-SML,Aug2015
D456,P20,100,SML,2015-08-01,2015,8,August,Summer,MHW1,MHW1-SML,Aug2015
D457,P20,150,UMP,2015-08-01,2015,8,August,Summer,MHW1,MHW1-UMP,Aug2015
D458,P20,200,UMP,2015-08-01,2015,8,August,Summer,MHW1,MHW1-UMP,Aug2015
D459,P20,300,UMP,2015-08-01,2015,8,August,Summer,MHW1,MHW1-UMP,Aug2015
D467,P20,10,SML,2016-06-01,2016,6,June,Spring,No,No-SML,June2016
D468,P20,25,SML,2016-06-01,2016,6,June,Spring,No,No-SML,June2016
D469,P20,50,SML,2016-06-01,2016,6,June,Spring,No,No-SML,June2016
D470,P20,100,SML,2016-06-01,2016,6,June,Spring,No,No-SML,June2016
D471,P20,150,UMP,2016-06-01,2016,6,June,Spring,No,No-UMP,June2016
D472,P20,200,UMP,2016-06-01,2016,6,June,Spring,No,No-UMP,June2016
D473,P20,300,UMP,2016-06-01,2016,6,June,Spring,No,No-UMP,June2016
D474,P20,10,SML,2016-08-01,2016,8,August,Summer,No,No-SML,Aug2016
D475,P20,25,SML,2016-08-01,2016,8,August,Summer,No,No-SML,Aug2016
D476,P20,50,SML,2016-08-01,2016,8,August,Summer,No,No-SML,Aug2016
D477,P20,100,SML,2016-08-01,2016,8,August,Summer,No,No-SML,Aug2016
D478,P20,150,UMP,2016-08-01,2016,8,August,Summer,No,No-UMP,Aug2016
D479,P20,200,UMP,2016-08-01,2016,8,August,Summer,No,No-UMP,Aug2016
D480,P20,300,UMP,2016-08-01,2016,8,August,Summer,No,No-UMP,Aug2016
D502,P20,10,SML,2018-02-01,2018,2,February,Winter,No,No-SML,Feb2018
D503,P20,25,SML,2018-02-01,2018,2,February,Winter,No,No-SML,Feb2018
D504,P20,50,SML,2018-02-01,2018,2,February,Winter,No,No-SML,Feb2018
D505,P20,100,SML,2018-02-01,2018,2,February,Winter,No,No-SML,Feb2018
D506,P20,150,UMP,2018-02-01,2018,2,February,Winter,No,No-UMP,Feb2018
D507,P20,200,UMP,2018-02-01,2018,2,February,Winter,No,No-UMP,Feb2018
D508,P20,300,UMP,2018-02-01,2018,2,February,Winter,No,No-UMP,Feb2018
D509,P20,10,SML,2018-06-01,2018,6,June,Spring,No,No-SML,June2018
D510,P20,25,SML,2018-06-01,2018,6,June,Spring,No,No-SML,June2018
D511,P20,50,SML,2018-06-01,2018,6,June,Spring,No,No-SML,June2018
D512,P20,100,SML,2018-06-01,2018,6,June,Spring,No,No-SML,June2018
D513,P20,150,UMP,2018-06-01,2018,6,June,Spring,No,No-UMP,June2018
D514,P20,200,UMP,2018-06-01,2018,6,June,Spring,No,No-UMP,June2018
D515,P20,300,UMP,2018-06-01,2018,6,June,Spring,No,No-UMP,June2018
D516,P20,10,SML,2018-08-01,2018,8,August,Summer,No,No-SML,Aug2018
D517,P20,25,SML,2018-08-01,2018,8,August,Summer,No,No-SML,Aug2018
D518,P20,50,SML,2018-08-01,2018,8,August,Summer,No,No-SML,Aug2018
D519,P20,100,SML,2018-08-01,2018,8,August,Summer,No,No-SML,Aug2018
D520,P20,150,UMP,2018-08-01,2018,8,August,Summer,No,No-UMP,Aug2018
D521,P20,200,UMP,2018-08-01,2018,8,August,Summer,No,No-UMP,Aug2018
D522,P20,300,UMP,2018-08-01,2018,8,August,Summer,No,No-UMP,Aug2018
